Sun Sep 28 04:00:00 +0000 2014, 4470503, 1575499, 2649595, 862802, 775489, 747781
Tue Apr 30 04:00:00 +0000 2013, 4544694, 1012443, 2536590, 535838, 220885, 568012
Fri Jun 28 04:00:00 +0000 2013, 4525325, 1020860, 2569206, 519247, 256557, 533463
Mon Sep 1 04:00:00 +0000 2014, 4578636, 1686444, 2782045, 853276, 824533, 750950
Fri Mar 1 05:00:00 +0000 2013, 2, 0, 0, 0, 0, 0
Sat Jun 1 04:00:00 +0000 2013, 4572133, 1100645, 2581483, 515970, 285879, 601784
Fri Oct 3 04:00:00 +0000 2014, 4088306, 1402680, 2369099, 900375, 707399, 702036
Sun May 5 04:00:00 +0000 2013, 4748579, 1099481, 2680300, 501776, 268250, 581905
Wed Jul 3 04:00:00 +0000 2013, 4545663, 1066802, 2540793, 542326, 262375, 537478
Sat Sep 6 04:00:00 +0000 2014, 4166165, 1430276, 2433222, 840531, 719292, 667021
Wed Mar 6 05:00:00 +0000 2013, 1, 0, 0, 0, 0, 0
Thu Jun 6 04:00:00 +0000 2013, 4529800, 1022530, 2546205, 548052, 238856, 558205
Wed Oct 8 04:00:00 +0000 2014, 4166202, 1421431, 2407790, 927247, 694090, 696251
Mon Jul 8 04:00:00 +0000 2013, 4770065, 1100610, 2711064, 565112, 270563, 545563
Thu Sep 11 04:00:00 +0000 2014, 4239972, 1449359, 2442299, 903525, 728581, 787232
Tue Jun 11 04:00:00 +0000 2013, 4630507, 1060039, 2600387, 543561, 238346, 552723
Mon Oct 13 04:00:00 +0000 2014, 4500269, 1556687, 2654846, 933024, 762147, 814174
Sat Jul 13 04:00:00 +0000 2013, 4500048, 1027308, 2528197, 508794, 267134, 512396
Tue Sep 16 04:00:00 +0000 2014, 4304660, 1492473, 2510595, 905868, 741303, 778667
Thu Apr 12 04:00:00 +0000 2012, 2, 0, 1, 0, 0, 0
Sun Jun 16 04:00:00 +0000 2013, 4649029, 1085157, 2629694, 478069, 281205, 539102
Sat Oct 18 04:00:00 +0000 2014, 4196129, 1472151, 2454970, 835188, 740706, 779527
Thu Jul 18 04:00:00 +0000 2013, 4741867, 1111515, 2683479, 592783, 277804, 625554
Fri Jun 21 04:00:00 +0000 2013, 4484052, 1001420, 2520743, 530628, 240285, 545690
Mon Aug 19 04:00:00 +0000 2013, 4771446, 1107276, 2712228, 567189, 300281, 565065
Thu Oct 23 04:00:00 +0000 2014, 4128699, 1439128, 2389273, 961385, 697759, 746802
Tue Jul 23 04:00:00 +0000 2013, 5045925, 1213743, 2898445, 593242, 298434, 670755
Wed Jun 26 04:00:00 +0000 2013, 4704107, 1097897, 2680615, 554087, 259967, 553522
Sat Aug 24 04:00:00 +0000 2013, 4513072, 1029762, 2510946, 528279, 304646, 537585
Tue Oct 28 04:00:00 +0000 2014, 4304512, 1495480, 2488272, 974079, 729388, 871465
Sun Jul 28 04:00:00 +0000 2013, 4701570, 1096125, 2668005, 527528, 302664, 567180
Thu Aug 29 04:00:00 +0000 2013, 4588050, 1065124, 2568762, 580962, 288754, 564618
Sun Nov 2 04:00:00 +0000 2014, 4654962, 1681751, 2777090, 929895, 847624, 805224
Fri Aug 2 04:00:00 +0000 2013, 4740063, 1103552, 2635117, 496425, 161826, 592506
Tue Jan 31 05:00:00 +0000 2012, 1, 0, 0, 0, 0, 0
Wed May 2 04:00:00 +0000 2012, 1, 0, 0, 0, 0, 0
Tue Sep 3 04:00:00 +0000 2013, 4525828, 1062267, 2517933, 572109, 290200, 542364
Sun Jun 3 04:00:00 +0000 2012, 1, 0, 0, 0, 0, 0
Wed Aug 7 04:00:00 +0000 2013, 4979138, 1119993, 2878356, 492116, 142368, 612549
Sat Oct 5 04:00:00 +0000 2013, 4336759, 1015936, 2393358, 523910, 300297, 542622
Thu Nov 6 05:00:00 +0000 2014, 4285688, 1530686, 2518766, 1007025, 784179, 964111
Sun Feb 5 05:00:00 +0000 2012, 1, 0, 0, 0, 0, 0
Sun Sep 8 04:00:00 +0000 2013, 4832874, 1156152, 2695790, 584349, 338588, 578670
Mon Aug 12 04:00:00 +0000 2013, 4934582, 1170999, 2846385, 493952, 148051, 586151
Tue Nov 11 05:00:00 +0000 2014, 4365310, 1549064, 2635879, 1013884, 789851, 870220
Thu Oct 10 04:00:00 +0000 2013, 4192235, 991716, 2299966, 557457, 271398, 533529
Fri Feb 10 05:00:00 +0000 2012, 1, 0, 0, 0, 0, 1
Fri Sep 13 04:00:00 +0000 2013, 4362376, 991043, 2403188, 581533, 273231, 556521
Sun Nov 16 05:00:00 +0000 2014, 4487619, 1659777, 2689347, 933625, 879175, 869237
Tue Oct 15 04:00:00 +0000 2013, 4637692, 1069819, 2561167, 582359, 278482, 553018
Thu May 17 04:00:00 +0000 2012, 1, 0, 0, 0, 0, 0
Wed Sep 18 04:00:00 +0000 2013, 4348690, 977572, 2355378, 589257, 262658, 540085
Sun Oct 20 04:00:00 +0000 2013, 4570990, 1104739, 2522783, 571509, 326151, 543436
Fri Nov 21 05:00:00 +0000 2014, 4087860, 1449208, 2349587, 995020, 794993, 768382
Sat Mar 19 04:00:00 +0000 2011, 1, 0, 1, 0, 0, 0
Mon Sep 23 04:00:00 +0000 2013, 4395336, 1014310, 2421130, 574496, 279612, 525322
Fri Oct 25 04:00:00 +0000 2013, 4226643, 979562, 2283542, 620800, 270516, 563298
Wed Nov 26 05:00:00 +0000 2014, 4298878, 1564369, 2522023, 1034809, 835978, 758141
Wed Jul 25 04:00:00 +0000 2012, 1, 0, 0, 0, 0, 0
Sat Sep 28 04:00:00 +0000 2013, 4400654, 1025938, 2420588, 532003, 294813, 559216
Sun Dec 28 05:00:00 +0000 2014, 4239253, 1517762, 2499222, 967025, 803911, 633471
Wed Oct 30 04:00:00 +0000 2013, 4300790, 1051137, 2329674, 641916, 307971, 551225
Mon Dec 1 05:00:00 +0000 2014, 4292510, 1532633, 2523400, 1044429, 825853, 726121
Tue Nov 4 05:00:00 +0000 2014, 4259671, 1519403, 2524358, 959479, 763347, 891535
Thu Oct 3 04:00:00 +0000 2013, 4192278, 970113, 2282431, 588975, 264044, 523805
Fri Jan 2 05:00:00 +0000 2015, 4435133, 1628367, 2665471, 940453, 841135, 713528
Sat Apr 4 04:00:00 +0000 2015, 4704481, 1825104, 2929563, 1114768, 1095284, 880640
Sat Dec 6 05:00:00 +0000 2014, 4313443, 1562258, 2541927, 994023, 849987, 787761
Sat Aug 4 04:00:00 +0000 2012, 1, 0, 0, 0, 0, 0
Wed Jan 7 05:00:00 +0000 2015, 4493850, 1682938, 2725930, 1014504, 875147, 741241
Thu Apr 9 04:00:00 +0000 2015, 4228811, 1563122, 2513832, 1088267, 901948, 714296
Sun Jul 8 04:00:00 +0000 2012, 1, 0, 0, 0, 0, 0
Thu Dec 11 05:00:00 +0000 2014, 4204768, 1524925, 2466901, 1059132, 833748, 756165
Fri Mar 13 04:00:00 +0000 2015, 4232938, 1503071, 2451403, 1031861, 879591, 766209
Mon Jan 12 05:00:00 +0000 2015, 4506966, 1720319, 2759736, 1110830, 961117, 723429
Tue Apr 14 04:00:00 +0000 2015, 4147546, 1507564, 2448921, 1076379, 856811, 676695
Fri Jul 13 04:00:00 +0000 2012, 1, 0, 0, 0, 0, 1
Tue Dec 16 05:00:00 +0000 2014, 4294214, 1534636, 2525351, 1050377, 813571, 735103
Fri Feb 13 05:00:00 +0000 2015, 4327779, 1605310, 2572827, 1153457, 960749, 704138
Wed Mar 18 04:00:00 +0000 2015, 4574274, 1656441, 2656724, 1135075, 952702, 818314
Sat Jan 17 05:00:00 +0000 2015, 4350873, 1679474, 2653119, 1107055, 979534, 697076
Sat Feb 12 05:00:00 +0000 2011, 1, 0, 0, 0, 0, 0
Sun Apr 19 04:00:00 +0000 2015, 4335465, 1637261, 2613381, 1043823, 918250, 685079
Sun Dec 21 05:00:00 +0000 2014, 4344356, 1634776, 2634066, 987337, 899001, 693775
Wed Feb 18 05:00:00 +0000 2015, 4641947, 1846934, 2857570, 1311565, 1133355, 695389
Mon Mar 23 04:00:00 +0000 2015, 4503394, 1704654, 2719350, 1147162, 1015602, 832076
Thu Jan 22 05:00:00 +0000 2015, 4486705, 1722961, 2707119, 1147911, 982042, 740068
Fri Apr 24 04:00:00 +0000 2015, 4101171, 1502010, 2416885, 1127967, 908320, 673802
Thu Sep 20 04:00:00 +0000 2012, 1, 0, 0, 0, 0, 1
Mon Feb 23 05:00:00 +0000 2015, 4595814, 1820350, 2807476, 1310355, 1137477, 762683
Sat Mar 28 04:00:00 +0000 2015, 4852287, 1950636, 2971950, 1072762, 1178923, 1261653
Tue May 26 04:00:00 +0000 2015, 3876596, 1388204, 2292865, 922065, 801555, 632379
Fri Aug 24 04:00:00 +0000 2012, 1, 0, 0, 0, 0, 0
Mon Oct 22 04:00:00 +0000 2012, 1, 0, 0, 0, 0, 0
Sat Nov 23 05:00:00 +0000 2013, 4703753, 1252306, 2582980, 613275, 417203, 778821
Tue Jan 27 05:00:00 +0000 2015, 4449919, 1665045, 2684072, 1166167, 647575, 701622
Wed Apr 29 04:00:00 +0000 2015, 4312345, 1608157, 2551058, 1207312, 943146, 705649
Sat Feb 28 05:00:00 +0000 2015, 4457694, 1756722, 2742631, 1170382, 1104336, 757881
Thu Apr 2 04:00:00 +0000 2015, 4502851, 1695132, 2757014, 1143367, 1011712, 814589
Sun May 31 04:00:00 +0000 2015, 3430207, 1216479, 2017040, 738824, 735117, 668155
Thu Nov 28 05:00:00 +0000 2013, 4291139, 1119987, 2339702, 633085, 366698, 640399
Sun Feb 1 05:00:00 +0000 2015, 4981205, 1982297, 3071857, 1160279, 1161755, 793935
Mon May 4 04:00:00 +0000 2015, 4379816, 1644510, 2636301, 1180799, 1004119, 736107
Sun Sep 30 04:00:00 +0000 2012, 1, 0, 0, 0, 0, 0
Thu Mar 5 05:00:00 +0000 2015, 4577154, 1867174, 2835636, 1357093, 1202149, 764922
Fri Jul 1 04:00:00 +0000 2011, 1, 0, 0, 0, 0, 1
Tue Dec 3 05:00:00 +0000 2013, 4340450, 1176694, 2392663, 678166, 360380, 683001
Fri Feb 6 05:00:00 +0000 2015, 4338188, 1658475, 2616929, 1178060, 931346, 721405
Sat May 9 04:00:00 +0000 2015, 4011445, 1424997, 2334541, 950475, 844696, 667107
Wed Nov 6 05:00:00 +0000 2013, 4302565, 1098467, 2345078, 631946, 333366, 618227
